filename,ans
15348.jpg,Type0
15452.jpg,Type0
15775.jpg,Type3
15809.jpg,Type0
15822.jpg,Type1
15908.jpg,Type0
15937.jpg,Type2
15972.jpg,Type0
16067.jpg,Type0
16104.jpg,Type3
16143.jpg,Type0
16213.jpg,Type0
16522.jpg,Type0
16523.jpg,Type0
16527.jpg,Type0
16533.jpg,Type0
16568.jpg,Type0
16771.jpg,Type3
16794.jpg,Type3
16856.jpg,Type3
16943.jpg,Type0
17017.jpg,Type0
17048.jpg,Type0
17208.jpg,Type0
17264.jpg,Type0
17291.jpg,Type0
17337.jpg,Type3
17379.jpg,Type0
17385.jpg,Type0
17447.jpg,Type2
17499.jpg,Type0
17511.jpg,Type2
17512.jpg,Type3
17546.jpg,Type3
17757.jpg,Type0
17776.jpg,Type0
17811.jpg,Type0
17868.jpg,Type0
17987.jpg,Type2
18086.jpg,Type0
18283.jpg,Type0
18285.jpg,Type0
18305.jpg,Type0
18307.jpg,Type0
18629.jpg,Type2
18637.jpg,Type2
18737.jpg,Type3
18798.jpg,Type3
19012.jpg,Type3
19075.jpg,Type0
19100.jpg,Type2
19149.jpg,Type3
19160.jpg,Type2
19294.jpg,Type3
19322.jpg,Type0
19331.jpg,Type3
19408.jpg,Type0
19413.jpg,Type0
19466.jpg,Type0
19480.jpg,Type3
19543.jpg,Type0
19550.jpg,Type3
19575.jpg,Type0
19609.jpg,Type0
19630.jpg,Type0
19823.jpg,Type2
19842.jpg,Type0
19847.jpg,Type2
19914.jpg,Type0
19988.jpg,Type3
20035.jpg,Type0
20249.jpg,Type0
20331.jpg,Type3
20374.jpg,Type0
20457.jpg,Type3
20748.jpg,Type2
20785.jpg,Type0
20788.jpg,Type0
20792.jpg,Type0
20799.jpg,Type0
20867.jpg,Type0
20932.jpg,Type2
20942.jpg,Type0
20985.jpg,Type3
21381.jpg,Type3
21590.jpg,Type2
21759.jpg,Type0
21859.jpg,Type0
22002.jpg,Type2
22023.jpg,Type3
22059.jpg,Type0
22099.jpg,Type0
22151.jpg,Type0
22187.jpg,Type3
22261.jpg,Type3
22425.jpg,Type2
22486.jpg,Type0
22575.jpg,Type3
22632.jpg,Type0
22687.jpg,Type0
22751.jpg,Type2
22834.jpg,Type0
22931.jpg,Type0
22947.jpg,Type0
22955.jpg,Type3
22971.jpg,Type0
23174.jpg,Type0
23187.jpg,Type0
23208.jpg,Type3
23227.jpg,Type0
23255.jpg,Type0
23302.jpg,Type2
23358.jpg,Type0
23365.jpg,Type0
23652.jpg,Type2
23703.jpg,Type3
23751.jpg,Type0
23773.jpg,Type3
23814.jpg,Type0
23853.jpg,Type3
23924.jpg,Type0
24024.jpg,Type3
24077.jpg,Type2
24157.jpg,Type0
24158.jpg,Type3
24162.jpg,Type2
24164.jpg,Type2
24194.jpg,Type3
24212.jpg,Type0
24219.jpg,Type0
24333.jpg,Type0
24382.jpg,Type3
24413.jpg,Type2
24416.jpg,Type3
24490.jpg,Type3
24675.jpg,Type3
24686.jpg,Type0
24705.jpg,Type2
24727.jpg,Type3
24781.jpg,Type3
25027.jpg,Type0
25131.jpg,Type2
25353.jpg,Type2
25451.jpg,Type3
25524.jpg,Type0
25672.jpg,Type0
25698.jpg,Type0
25791.jpg,Type2
25853.jpg,Type2
25860.jpg,Type0
25891.jpg,Type0
25984.jpg,Type0
26000.jpg,Type3
26136.jpg,Type0
26160.jpg,Type0
26198.jpg,Type1
26207.jpg,Type0
26252.jpg,Type2
26331.jpg,Type0
26348.jpg,Type0
26394.jpg,Type0
26467.jpg,Type0
26516.jpg,Type0
26518.jpg,Type0
26557.jpg,Type2
26622.jpg,Type0
26663.jpg,Type0
26704.jpg,Type3
26848.jpg,Type0
26908.jpg,Type0
27010.jpg,Type0
27037.jpg,Type2
27045.jpg,Type0
27110.jpg,Type0
27294.jpg,Type3
27334.jpg,Type3
27442.jpg,Type0
27474.jpg,Type3
27560.jpg,Type2
27563.jpg,Type3
27600.jpg,Type3
27726.jpg,Type0
27815.jpg,Type0
27851.jpg,Type0
27940.jpg,Type3
27982.jpg,Type0
28005.jpg,Type0
28060.jpg,Type0
28063.jpg,Type0
28174.jpg,Type0
28208.jpg,Type0
28336.jpg,Type0
28355.jpg,Type2
28373.jpg,Type0
28429.jpg,Type0
28435.jpg,Type2
28436.jpg,Type3
28511.jpg,Type0
28558.jpg,Type2
28590.jpg,Type0
28611.jpg,Type3
28774.jpg,Type0
28916.jpg,Type0
28926.jpg,Type3
29060.jpg,Type0
29114.jpg,Type2
29209.jpg,Type3
29256.jpg,Type0
29263.jpg,Type0
29265.jpg,Type0
29266.jpg,Type0
29335.jpg,Type0
29465.jpg,Type2
29475.jpg,Type3
29597.jpg,Type0
29766.jpg,Type2
29770.jpg,Type2
29798.jpg,Type0
29851.jpg,Type3
29946.jpg,Type0
30132.jpg,Type3
30255.jpg,Type3
30320.jpg,Type0
30394.jpg,Type3
30399.jpg,Type0
30403.jpg,Type0
30448.jpg,Type3
30552.jpg,Type3
30666.jpg,Type0
30692.jpg,Type3
30793.jpg,Type2
30891.jpg,Type0
31023.jpg,Type0
31025.jpg,Type2
31191.jpg,Type0
31196.jpg,Type1
31198.jpg,Type3
31278.jpg,Type0
31281.jpg,Type3
31447.jpg,Type0
31505.jpg,Type2
31567.jpg,Type0
31687.jpg,Type0
31745.jpg,Type2
31841.jpg,Type0
31861.jpg,Type2
31944.jpg,Type0
31965.jpg,Type0
32014.jpg,Type0
32029.jpg,Type3
32261.jpg,Type0
32391.jpg,Type0
32601.jpg,Type0
32657.jpg,Type0
32665.jpg,Type0
32719.jpg,Type0
32748.jpg,Type0
32971.jpg,Type3
33111.jpg,Type2
33114.jpg,Type0
33162.jpg,Type0
33233.jpg,Type0
33234.jpg,Type3
33307.jpg,Type3
33357.jpg,Type0
33367.jpg,Type0
33382.jpg,Type2
33393.jpg,Type0
33470.jpg,Type0
33571.jpg,Type0
